Département,Ville ,code postal,population,superficie
1,OZAN,1190,500,6.6
1,CORMORANCHE-SUR-SAONE,1290,1000,9.85
1,PLAGNE,1130,100,6.2
1,TOSSIAT,1250,1400,10.17
1,POUILLAT,1250,100,6.23
1,TORCIEU,1230,700,10.72
1,REPLONGES,1620,3300,16.6
1,CORCELLES,1110,200,14.16
1,PERON,1630,1900,26.01
1,RELEVANT,1990,400,12.38
1,CHAVEYRIAT,1660,900,16.87
1,VAUX-EN-BUGEY,1150,1100,8.22
1,MAILLAT,1430,700,11.31
1,FARAMANS,1800,600,11.22
1,BEON,1350,400,10.3
1,SAINT-BERNARD,1600,1400,3.15
1,ROSSILLON,1510,100,8.07
1,PONT-D'AIN,1160,2500,11.22
1,NANTUA,1460,3600,12.79
1,CHAVANNES-SUR-REYSSOUZE,1190,700,16.55
1,NEUVILLE-LES-DAMES,1400,1500,26.59
1,FLAXIEU,1350,100,2.79
1,HOTONNES,1260,300,28.4
1,SAINT-SORLIN-EN-BUGEY,1150,1100,9.07
1,SONGIEU,1260,100,20.58
1,VIRIEU-LE-PETIT,1260,300,16.36
1,SAINT-DENIS-EN-BUGEY,1500,2100,2.61
1,CHARNOZ-SUR-AIN,1800,900,6.62
1,CHAZEY-SUR-AIN,1150,1400,21.95
1,MARCHAMP,1680,100,13.11
1,CULOZ,1350,2900,19.36
1,MANTENAY-MONTLIN,1560,300,10.8
1,MARBOZ,1851,2200,40.14
1,FOISSIAT,1340,1900,40.36
1,TREFFORT-CUISIAT,1370,2100,39.41
1,IZIEU,1300,200,7.67
1,SAINT-ETIENNE-DU-BOIS,1370,2400,28.38
1,HAUTEVILLE-LOMPNES,1110,4200,50.34
1,SAINT-TRIVIER-SUR-MOIGNANS,1990,1900,41.99
1,PEYRIAT,1430,200,5.96
1,EVOSGES,1230,100,12.08
1,PONCIN,1450,1600,19.77
1,CRANS,1320,300,13.23
1,MONTREAL-LA-CLUSE,1460,3500,12.83
1,CLEYZIEU,1230,100,7.82
1,LOMPNIEU,1260,100,11.35
1,VILLEREVERSURE,1250,1200,17.45
